feature,importance
roa,77.84834289550781
accruals,48.7457389831543
niadj,31.68169403076172
delta_roa,29.28931999206543
ibadj,23.987689971923828
oibdp,22.88720703125
txt,19.68855857849121
ocf_to_assets,18.327547073364258
total_liab_to_assets,17.916162490844727
working_cap_to_assets,17.236312866210938
spi,16.094886779785156
prcc_f,14.673253059387207
prcc_c,14.561999320983887
dv,13.349160194396973
fopo,12.144669532775879
rect,11.947344779968262
ib,11.520645141601562
re,11.159871101379395
asset_growth,10.985589981079102
ppent,10.902926445007324
dvc,10.764997482299805
ibc,10.643950462341309
txp,10.499375343322754
seq,10.426177978515625
capx,10.371337890625
xido,10.347356796264648
at,10.279701232910156
recch,10.083610534667969
lct,10.013313293457031
mkvalt,9.988478660583496
invt,9.918688774108887
dp,9.741215705871582
act,9.711097717285156
dpc,9.543771743774414
do,9.467852592468262
oancf,9.451470375061035
debt_to_equity,9.444978713989258
caps,9.342158317565918
fincf,9.336994171142578
nopi,9.244919776916504
cash_ratio,9.24123764038086
ivncf,9.239908218383789
ivch,9.15422248840332
invch,9.119543075561523
lco,9.111201286315918
txditc,9.082075119018555
log_size,9.056577682495117
xint,9.016966819763184
exre,9.000758171081543
ivao,8.983473777770996
ao,8.96865177154541
fiao,8.959877967834473
pstk,8.929520606994629
dvt,8.831279754638672
sstk,8.828669548034668
ceq,8.828276634216309
che,8.825302124023438
cstk,8.650911331176758
tstk,8.63853645324707
lt,8.630949974060059
ivaco,8.593460083007812
sppiv,8.561013221740723
aco,8.460140228271484
dltt,8.454680442810059
sppe,8.41274642944336
pstkn,8.329765319824219
dltr,8.326485633850098
prstkc,8.23218059539795
apalch,8.218496322631836
intan,8.203716278076172
aoloch,8.176087379455566
txdc,8.160120964050293
chech,8.030060768127441
dltis,7.998586177825928
debt_to_assets,7.993010997772217
txbcof,7.986776351928711
csho,7.954097747802734
txach,7.897616863250732
delta_curr_ratio,7.874883651733398
current_ratio,7.829905986785889
siv,7.820268630981445
delta_leverage,7.783829212188721
ap,7.709980010986328
dvp,7.685996055603027
esubc,7.518339157104492
aqc,7.489170551300049
cstke,7.419371128082275
mibt,7.408842086791992
dlc,7.361050605773926
ivstch,7.280043125152588
dlcch,7.266293048858643
xidoc,7.22845983505249
ivaeq,7.164209842681885
pstkr,6.962073802947998
