feature,importance
roa,54.49993896484375
accruals,31.84673309326172
niadj,29.03907012939453
ibadj,18.162885665893555
delta_roa,18.014598846435547
total_liab_to_assets,13.8414888381958
oibdp,13.586174011230469
txt,12.471368789672852
at,12.358969688415527
ocf_to_assets,10.361604690551758
working_cap_to_assets,9.427458763122559
spi,9.381067276000977
prcc_c,9.028324127197266
prcc_f,8.971736907958984
dv,8.894962310791016
xido,7.89728307723999
oancf,7.522609233856201
fopo,7.416773796081543
asset_growth,7.400420188903809
do,7.2327985763549805
ppent,7.089134693145752
capx,7.002694606781006
act,6.988629341125488
re,6.936583042144775
rect,6.871763229370117
ib,6.844113826751709
lco,6.692097187042236
invt,6.663941383361816
dvc,6.562185287475586
recch,6.555564880371094
seq,6.524718284606934
mkvalt,6.499239921569824
ibc,6.401551246643066
xint,6.336721897125244
ao,6.322737216949463
lct,6.281576156616211
txp,6.256992816925049
tstk,6.203824996948242
dpc,6.140519142150879
dltt,6.066551685333252
log_size,6.050112724304199
nopi,6.042453289031982
txbcof,5.977433681488037
dp,5.902002811431885
ivncf,5.882282733917236
sppe,5.874485492706299
exre,5.849350929260254
sstk,5.843054294586182
aco,5.840931415557861
dltr,5.823591709136963
caps,5.797605991363525
txditc,5.785712242126465
ceq,5.728087425231934
cash_ratio,5.722342491149902
fincf,5.68809175491333
invch,5.658228397369385
fiao,5.628570079803467
apalch,5.597445011138916
ivaco,5.5746564865112305
sppiv,5.5632734298706055
txdc,5.551990509033203
dvt,5.546814441680908
chech,5.544525623321533
debt_to_equity,5.524808883666992
ivao,5.5162506103515625
intan,5.468080043792725
ap,5.447136402130127
prstkc,5.430939197540283
lt,5.415614604949951
cstk,5.40781831741333
delta_leverage,5.402319431304932
csho,5.391147613525391
che,5.37706184387207
delta_curr_ratio,5.350653648376465
dltis,5.330751895904541
dlc,5.328606128692627
aoloch,5.319431781768799
dvp,5.310344696044922
txach,5.263935565948486
debt_to_assets,5.181497097015381
current_ratio,5.135466575622559
pstk,5.1228132247924805
ivch,5.088973045349121
siv,5.023844242095947
pstkn,5.014214515686035
mibt,4.978408336639404
aqc,4.934476852416992
ivstch,4.92014741897583
ivaeq,4.884634971618652
dlcch,4.752047538757324
pstkr,4.700297832489014
esubc,4.328187465667725
xidoc,4.15812349319458
cstke,3.4247612953186035
