number,value,params_alpha,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_subsample,user_attrs_best_iteration,state
0,0.7364743759058849,0.0001707396743152812,0.6624074561769746,0.023688639503640783,1.1752647960576206,0.029375384576328288,8,8.960785365368121,0.8394633936788146,502,COMPLETE
1,0.7344430479085354,0.000533703276260396,0.9329770563201687,0.039913058785616795,0.0007274653135669422,0.04335281794951567,6,1.0636066512540283,0.9879639408647978,494,COMPLETE
2,0.7350770043482473,0.0014742753159914669,0.8447411578889518,0.02014847788415866,0.005266514841107984,0.02621087878265441,5,3.6473162849112093,0.7164916560792167,1033,COMPLETE
3,0.7302906432562057,0.02692646910086179,0.836965827544817,0.028580510658069373,0.00063283099528693,0.013783237455007183,7,1.8187859051288213,0.8056937753654446,392,COMPLETE
4,0.7359523295241797,0.054567254856014755,0.7218455076693483,0.011615865989246453,0.011702088154220882,0.019634341572933336,8,18.043311207136256,0.9233589392465844,840,COMPLETE
5,0.7345373090685052,0.0017654048052495078,0.7035119926400067,0.01324458134009936,0.027783313007975565,0.9717775305059632,5,1.1085122517311703,0.9637281608315128,2044,COMPLETE
6,0.7342644530937417,0.024637685958997457,0.9757995766256756,0.03521358805467869,2.147135132541305,4.83595277646595,3,18.258230439200236,0.9100531293444458,1334,COMPLETE
7,0.7296847144699103,0.20651425578959234,0.7554709158757928,0.012260057359187526,0.004746496676106306,0.06516990611177176,3,1.1450964268326638,0.7301321323053057,2193,COMPLETE
8,0.7361538879619876,0.12273800987852965,0.6298202574719083,0.01909565280104538,0.0008585370205937364,9.133995846860973,5,1.5252697030515172,0.9208787923016158,1391,COMPLETE
9,0.7339581043238396,0.00271558195528294,0.9085081386743783,0.010127963257331486,0.0003503202443763074,0.016677615430197915,7,8.310795711416073,0.8916028672163949,1227,COMPLETE
10,0.7258525470669036,0.00011496799259680233,0.6061470949312417,0.07856293628949162,3.8623542970037636,0.20617821832831063,8,7.139614686948192,0.6071847502459279,96,COMPLETE
11,0.736106155715024,0.6278871663391079,0.6098821354452019,0.021616987738756106,0.31590609260739955,4.77528483486479,4,2.950072590214077,0.8369993090060779,1606,COMPLETE
12,0.7294753343613818,0.15446602095611303,0.6686533310966929,0.0536040925480337,0.1514773690352019,1.1711426667473572,2,7.166972042458567,0.8566880772987617,1349,COMPLETE
13,0.733696329049264,0.00013032591001162723,0.6614516822679415,0.01885755648554389,0.00010582540860034826,0.1759157928833251,6,10.74610700621531,0.7475640316733063,608,COMPLETE
14,0.7353656039422826,0.007054382978969147,0.6589902486931581,0.026242033715232656,0.36812965639931,1.9234357845908685,5,2.0425454412641626,0.7845619357947551,1047,COMPLETE
15,0.7338175649454379,0.796323664191639,0.7779191125996567,0.015572555185544361,0.03897611902256991,0.09554394663409174,6,5.3335174222032595,0.6662225125541511,819,COMPLETE
16,0.7347819869731078,0.007639938433755792,0.6022544480653375,0.04597450886667082,0.001960684440298925,0.44896785720263316,4,12.061354348043654,0.8696060971823685,729,COMPLETE
17,0.7351468979955866,0.00048293256459914705,0.7238803118866866,0.016274459191887684,0.09292338774852427,7.216766632902063,7,4.6673957643722295,0.9438599500782205,830,COMPLETE
18,0.7342905253294779,0.15134516899765482,0.8160380080454375,0.025145409406556962,1.048176682804071,0.33138189003816576,4,2.1816561584846172,0.816822842750943,1003,COMPLETE
19,0.7310953728399905,0.04088261595658417,0.6472416279403943,0.07485688984060582,0.6809105092172287,2.715932949567559,8,3.0937346837782096,0.7730982444721965,164,COMPLETE
20,0.7326699854617202,0.0003742910395373553,0.6873064153189612,0.030858917689531185,0.00013552401126260745,0.6180692910748724,6,12.50285273343236,0.8750878032591479,558,COMPLETE
21,0.7348391954749829,0.9913214993583048,0.6297490068095127,0.02043403723045438,0.2467393355666532,7.838341168273464,4,2.8280476989138355,0.8330348886484555,1550,COMPLETE
22,0.7331784441974936,0.31376649283944236,0.6238472876407646,0.021615850328817278,1.1522340772092812,2.9052287053250883,3,1.4635850080220023,0.8336850671501811,2022,COMPLETE
23,0.7363476748679894,0.48779786926070284,0.7329666251599204,0.015853496069475854,0.0991434086353547,4.239111103738439,5,2.6431156469817614,0.9287211378997812,1577,COMPLETE
24,0.7323728121132409,0.0732952836052713,0.7461087814572279,0.015555234238751978,0.06275427607456072,1.5247992195770026,5,1.8149646831509667,0.9989879313923893,1489,COMPLETE
25,0.7363012963717275,0.014368945064237974,0.6927977702565916,0.017432163215463124,0.014426028925816212,4.204553901129122,5,3.837743456600304,0.9402010319704641,1405,COMPLETE
26,0.7351032270007283,0.016152391092690906,0.775291039542451,0.0142526299179458,0.014082291314754811,0.7698397408706014,7,5.451431032507091,0.9554138964007809,1052,COMPLETE
27,0.7357231445442743,0.004380076994666032,0.6941222559827258,0.02519688067885046,0.09343054892464984,3.443709872719517,6,4.0313266127368745,0.8965816994710459,795,COMPLETE
28,0.7258996275079735,0.0010768128924174285,0.7268897825318005,0.01734724540146373,0.007959435345491688,0.12527782342312568,2,2.544113202064154,0.9700735745041544,3632,COMPLETE
29,0.7344817551508209,0.013547245454604508,0.8777718346547334,0.03720486272888674,0.03552250007625281,0.029282674292473575,6,3.5044363615839793,0.9364808294976898,493,COMPLETE
30,0.7281975441157271,0.00031182817138476434,0.7948811856388972,0.010085294037565928,3.4550443210514885,0.07025429573891945,5,8.912063623451411,0.993667605831397,1208,COMPLETE
31,0.7364019753128015,0.38040627423253254,0.684425818933998,0.022897039191123954,0.0022504149340797476,7.47767666465554,5,1.417100482654841,0.9119065199663535,1464,COMPLETE
32,0.73498986291419,0.27925969569474934,0.684045268519593,0.022582385708766733,0.0031393271728113164,4.397452758738104,5,4.790945956761487,0.8911769193735404,932,COMPLETE
33,0.735342891013843,0.4049857144317023,0.7474565788814732,0.01770338000914708,0.0019479998786742952,1.9643246101746688,4,2.4955011506917697,0.9681810113424469,2051,COMPLETE
