feature,importance
roa,70.88713836669922
delta_roa,24.452301025390625
accruals,24.37166404724121
total_accruals,17.929651260375977
return_on_current_assets,16.07345199584961
roa_avg_assets,15.608338356018066
return_on_fixed_assets,14.879119873046875
total_liab_to_assets,13.079244613647461
fcf_to_assets,12.35029125213623
cfo_to_current_liab,11.870534896850586
working_cap_to_assets,11.600577354431152
fixed_assets_to_assets,10.620674133300781
cfo_to_assets,10.43484115600586
current_assets_to_assets,10.186217308044434
cfo_to_total_liab,9.729310035705566
roe,9.702218055725098
current_liab_to_assets,9.648225784301758
asset_growth,9.413846015930176
interest_coverage_ebitda,9.276947021484375
receivables_to_assets,9.046477317810059
fcf_to_debt,9.037013053894043
log_assets,8.669970512390137
inventory_to_assets,8.646200180053711
equity_to_assets,8.60750675201416
roa_lag1,8.444321632385254
capx_to_assets,8.441951751708984
equity_to_liab,8.354154586791992
roe_avg_equity,8.307401657104492
fixed_to_current_assets,8.19261646270752
delta_nwc_to_assets,8.182954788208008
capital_intensity_proxy,8.154081344604492
delta_fixed_assets_to_assets,8.11291217803955
ni_growth,8.076762199401855
cash_ratio,8.008471488952637
payables_to_assets,7.807429790496826
debt_to_assets_lag1,7.732878684997559
lt_debt_to_assets,7.493953704833984
equity_growth,7.436588764190674
delta_current_ratio,7.430960655212402
delta_debt_to_assets,7.42425537109375
current_ratio,7.419892311096191
quick_ratio,7.381810665130615
cfo_to_total_debt,7.371770858764648
debt_to_equity,7.340151786804199
log_book_equity,7.329273700714111
fixed_assets_to_lt_debt,7.1281561851501465
debt_to_assets,6.9987711906433105
current_ratio_lag1,6.908559322357178
st_debt_to_assets,6.872860908508301
