number,value,params_alpha,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
0,0.7345681059045376,0.0001707396743152812,0.6624074561769746,0.023688639503640783,1.1752647960576206,0.029375384576328288,8,17.524101118128137,0.8394633936788146,COMPLETE
1,0.7320615452602701,0.000533703276260396,0.9329770563201687,0.039913058785616795,0.0007274653135669422,0.04335281794951567,6,1.0838581269344745,0.9879639408647978,COMPLETE
2,0.7320616601502431,0.0014742753159914669,0.8447411578889518,0.02014847788415866,0.005266514841107984,0.02621087878265441,5,5.4182823195332395,0.7164916560792167,COMPLETE
3,0.7339105913416031,0.02692646910086179,0.836965827544817,0.028580510658069373,0.00063283099528693,0.013783237455007183,7,2.1839352923182975,0.8056937753654446,COMPLETE
4,0.7342019463212136,0.054567254856014755,0.7218455076693483,0.011615865989246453,0.011702088154220882,0.019634341572933336,8,43.70990468130503,0.9233589392465844,COMPLETE
5,0.7325926835313652,0.0017654048052495078,0.7035119926400067,0.01324458134009936,0.027783313007975565,0.9717775305059632,5,1.1439974749291268,0.9637281608315128,COMPLETE
6,0.7318883318998372,0.024637685958997457,0.9757995766256756,0.03521358805467869,2.147135132541305,4.83595277646595,3,44.39102767051397,0.9100531293444458,COMPLETE
7,0.7303364257423247,0.20651425578959234,0.7554709158757928,0.012260057359187526,0.004746496676106306,0.06516990611177176,3,1.1935477742481382,0.7301321323053057,COMPLETE
8,0.7333056334005769,0.12273800987852965,0.6298202574719083,0.01909565280104538,0.0008585370205937364,9.133995846860973,5,1.7355056469855072,0.9208787923016158,COMPLETE
9,0.7342309320720748,0.00271558195528294,0.9085081386743783,0.010127963257331486,0.0003503202443763074,0.016677615430197915,7,15.882886211970037,0.8916028672163949,COMPLETE
10,0.7304538450919577,0.00011496799259680233,0.6061470949312417,0.07856293628949162,3.8623542970037636,0.20617821832831063,8,13.025197490003656,0.6071847502459279,COMPLETE
11,0.7336436513620629,0.0001648148367093314,0.882157367526029,0.06076165873131544,0.1745702869922224,0.1531802101947805,7,16.61524390633894,0.8369993090060779,COMPLETE
12,0.7359678134966531,0.007495849797769732,0.7839091179543534,0.019407334819377568,0.3072837541630322,0.010607795026559416,7,17.569083703965177,0.8566880772987617,COMPLETE
13,0.7338903339985281,0.9941450502972566,0.6713324218481374,0.022265550155090828,0.34865845538374846,0.010219715841526075,8,7.557354279044259,0.7475640316733063,COMPLETE
14,0.7339081946566409,0.007054382978969147,0.7756073603648207,0.01677541436899621,0.3601808225393178,0.08134650578175094,6,27.157943287126113,0.8578694741072341,COMPLETE
15,0.7289362589182157,0.00038362937804330935,0.6783349816959897,0.027287623697575314,0.07919016259896597,0.6036250178975199,2,6.6761712181877,0.7885344267580748,COMPLETE
16,0.7340702180056256,0.0060818777340018336,0.7484050383211887,0.04597450886667082,1.3449059037281117,0.04309458177848152,6,25.831978917399784,0.8439606469298555,COMPLETE
17,0.7350619367860292,0.00044332642683746394,0.7954333166739153,0.016436857966697367,0.8745358539048291,1.516681031865723,7,10.735826966734498,0.6697274314999843,COMPLETE
18,0.7338218381587339,0.0010106912234462571,0.8102328911766072,0.015342851606405796,0.05891403839999276,2.0111086152115947,4,4.0181295765174765,0.6353607800408166,COMPLETE
19,0.7352878925495947,0.004263422804893319,0.8118606028422585,0.015963600066079386,0.6809105092172287,1.7314698333193976,7,9.923369925088405,0.6696365570918199,COMPLETE
20,0.7350218734014042,0.013255240424677147,0.8535813456383934,0.025381951438554994,0.35534832493747043,0.6180692910748724,6,3.3460376916451136,0.6805454483691531,COMPLETE
21,0.7336181979632999,0.004136899942732352,0.800244165752825,0.01578692587624418,0.777967744054113,2.3167613660021376,7,10.24372292379103,0.6659026643742146,COMPLETE
22,0.7337917519274514,0.0005129811976379704,0.7934716095731446,0.017961974960581602,4.384142433613839,1.9953644693610257,7,9.178482485468741,0.7767454629392313,COMPLETE
23,0.7334929587260866,0.012926485016956197,0.7345478156975833,0.013723267039395432,0.09923261805252465,1.0962784010308104,6,25.845350090667708,0.6955498637856027,COMPLETE
24,0.7334282345179273,0.00282070093532826,0.8272461733013141,0.0218429885660358,0.6655552206511257,0.33369151065077013,7,10.874657502385864,0.6493806663355602,COMPLETE
25,0.7340588465815329,0.0008808008600002893,0.7844707023078049,0.010430669818631944,0.2404113088508087,4.013732749677623,8,4.992138601970214,0.6016632301542958,COMPLETE
26,0.7337234800827304,0.027802803750946542,0.8852654143964677,0.01455335713202801,0.02854533050646032,1.0717914736003347,5,21.145505113924997,0.7649011048051568,COMPLETE
27,0.7326624875763624,0.00032496313436217975,0.7662923141525452,0.018597686327864762,2.0880871192606216,3.7843034205504065,4,7.521423234877144,0.7012283136334393,COMPLETE
28,0.7348052902227956,0.08061731596100469,0.8705336702077857,0.028853762630938515,0.6731599482481818,0.37625167163871215,7,13.104598303516402,0.8144971201416688,COMPLETE
29,0.7346549800451054,0.008398845196634233,0.7068065827898746,0.03406221042773064,0.13087684561437465,0.1307572907956467,6,21.659885203899893,0.6342746093971057,COMPLETE
30,0.7343155541721377,0.0040352922381270435,0.8266514276437742,0.023585595401938258,1.7330303306705241,6.912352031467075,8,31.90374265192025,0.7452490250707723,COMPLETE
