feature,importance
roa,79.61332702636719
current_ratio__is_missing,66.09476470947266
log_book_equity__is_missing,44.86903381347656
cash_ratio__is_missing,42.2641716003418
delta_roa,32.46696090698242
accruals,29.904747009277344
quick_ratio__is_missing,26.8903865814209
return_on_current_assets,26.149986267089844
current_assets_to_assets,22.258970260620117
total_accruals,19.61345100402832
roe,12.002392768859863
total_liab_to_assets,11.739449501037598
cfo_to_assets,11.131237030029297
roa_avg_assets,11.03856086730957
fixed_assets_to_assets,10.521842956542969
fcf_to_debt,9.701740264892578
return_on_fixed_assets,9.641100883483887
fcf_to_assets,9.449445724487305
asset_growth,9.38579273223877
current_liab_to_assets__is_missing,9.354046821594238
interest_coverage_ebitda,9.176563262939453
ni_growth,8.862818717956543
equity_to_assets,8.832600593566895
capx_to_assets,8.720854759216309
working_cap_to_assets,8.697295188903809
inventory_to_assets,8.618743896484375
cfo_to_total_liab,8.609292984008789
receivables_to_assets,8.165974617004395
capital_intensity_proxy,8.028458595275879
delta_nwc_to_assets,8.009537696838379
log_assets,7.822296619415283
equity_to_liab,7.616647243499756
delta_fixed_assets_to_assets,7.512160778045654
current_liab_to_assets,7.419407367706299
cfo_to_current_liab,7.365507125854492
fcf_to_debt__is_missing,7.299544811248779
fixed_to_current_assets,7.189880847930908
return_on_fixed_assets__is_missing,7.126563549041748
roa_lag1,7.0168681144714355
roe_avg_equity,6.820021629333496
debt_to_assets_lag1,6.818935394287109
payables_to_assets,6.766170978546143
current_ratio,6.66395378112793
debt_to_equity,6.658015251159668
delta_debt_to_assets,6.446304798126221
cash_ratio,6.331042289733887
st_debt_to_assets,6.330937385559082
lt_debt_to_assets,6.209529876708984
quick_ratio,6.179647922515869
equity_growth,6.1460185050964355
delta_current_ratio,6.129284381866455
fixed_assets_to_lt_debt,5.998666286468506
cfo_to_total_debt,5.947469711303711
debt_to_assets,5.830176830291748
current_ratio_lag1,5.69505500793457
cfo_to_current_liab__is_missing,5.6403117179870605
log_book_equity,5.612120628356934
cfo_to_total_debt__is_missing,4.887481212615967
fixed_to_current_assets__is_missing,4.701425552368164
return_on_current_assets__is_missing,4.693717002868652
interest_coverage_ebitda__is_missing,3.4393362998962402
inventory_to_assets__is_missing,2.925060272216797
fixed_assets_to_lt_debt__is_missing,2.8830573558807373
fixed_assets_to_assets__is_missing,2.70233416557312
receivables_to_assets__is_missing,1.1744303703308105
