feature,importance
roa,0.26944427897932305
accruals,0.10369174476684315
delta_roa,0.06605662130250464
return_on_current_assets,0.05247167734517695
total_accruals,0.05086221030218072
return_on_fixed_assets,0.024395062313709064
roa_avg_assets,0.023164129725746278
cfo_to_assets,0.0224127185001904
fcf_to_assets,0.022258392332997073
total_liab_to_assets,0.019125273828330683
current_assets_to_assets,0.01703336454408201
receivables_to_assets,0.014963929251727742
payables_to_assets,0.01466469628029788
asset_growth,0.014593547162239122
cfo_to_total_liab,0.014496348003695692
roe,0.014428721998254906
equity_to_assets,0.012852057427643835
ni_growth,0.012316791902374984
interest_coverage_ebitda,0.011955721879918868
capx_to_assets,0.011548655970479839
fixed_assets_to_assets,0.01093748245421918
inventory_to_assets,0.010835099867180094
fcf_to_debt,0.01058048854879862
roa_lag1,0.01036060212248067
log_assets,0.010072851031259664
current_liab_to_assets,0.009595029209874557
delta_fixed_assets_to_assets,0.009088842887280263
roe_avg_equity,0.008669941762669447
working_cap_to_assets,0.00819744195892515
cfo_to_current_liab,0.008114679415621997
equity_to_liab,0.007715453572161155
equity_growth,0.007517790182479474
delta_nwc_to_assets,0.006831323394736901
log_book_equity,0.006710072253950163
cash_ratio,0.006423510827426296
delta_debt_to_assets,0.005957710520698015
cfo_to_total_debt,0.005829900572943581
debt_to_equity,0.00581676819133559
debt_to_assets_lag1,0.005600026064550667
fixed_to_current_assets,0.0055092630252648375
delta_current_ratio,0.005443721554749279
capital_intensity_proxy,0.005133324292245364
fixed_assets_to_lt_debt,0.005130579006085787
st_debt_to_assets,0.005059016786782811
quick_ratio,0.004915451306205721
current_ratio_lag1,0.004729933996709691
current_ratio,0.004585771675010616
debt_to_assets,0.0044002886186980126
lt_debt_to_assets,0.0043664643181650946
fixed_to_current_assets__is_missing,0.0004449137984531374
capital_intensity_proxy__is_missing,0.00036650436215470024
interest_coverage_ebitda__is_missing,0.00025121428485890067
current_liab_to_assets__is_missing,0.00014405915493838554
return_on_current_assets__is_missing,0.00014058181106419928
fixed_assets_to_lt_debt__is_missing,0.0001244889303459657
cash_ratio__is_missing,0.00011304731055355698
return_on_fixed_assets__is_missing,0.00010414357704870244
cfo_to_current_liab__is_missing,0.00010371029302165823
quick_ratio__is_missing,0.00010285013651448213
total_accruals__is_missing,9.99725209991902e-05
log_book_equity__is_missing,9.541062275826036e-05
cfo_to_total_liab__is_missing,8.98223259828935e-05
accruals__is_missing,8.79660496244877e-05
current_ratio_lag1__is_missing,8.747421986011099e-05
current_assets_to_assets__is_missing,8.5925805598442e-05
delta_nwc_to_assets__is_missing,7.746322050556327e-05
cfo_to_total_debt__is_missing,7.312601460139634e-05
cfo_to_assets__is_missing,6.592394884062276e-05
receivables_to_assets__is_missing,6.491894867153645e-05
fcf_to_debt__is_missing,6.0455505474837154e-05
working_cap_to_assets__is_missing,4.8433194417102794e-05
fcf_to_assets__is_missing,4.605822490328818e-05
delta_current_ratio__is_missing,4.38086360182738e-05
delta_fixed_assets_to_assets__is_missing,4.367686477184169e-05
inventory_to_assets__is_missing,3.4588234620892764e-05
fixed_assets_to_assets__is_missing,3.351010483819539e-05
current_ratio__is_missing,2.564662322315854e-05
ni_growth__is_missing,2.207338311763108e-05
roa_avg_assets__is_missing,1.1411380778132412e-05
equity_growth__is_missing,1.0363576874982876e-05
asset_growth__is_missing,6.798729925328348e-06
total_liab_to_assets__is_missing,5.726496052856897e-06
capx_to_assets__is_missing,5.394114828010524e-06
equity_to_liab__is_missing,3.6383363324191865e-06
debt_to_equity__is_missing,2.465416595577935e-06
roa_lag1__is_missing,2.1309843196738905e-06
delta_debt_to_assets__is_missing,1.581505645435608e-06
debt_to_assets_lag1__is_missing,1.3823584195617897e-06
roe_avg_equity__is_missing,1.321728019664152e-06
delta_roa__is_missing,1.2440282011475563e-06
st_debt_to_assets__is_missing,0.0
lt_debt_to_assets__is_missing,0.0
equity_to_assets__is_missing,0.0
debt_to_assets__is_missing,0.0
payables_to_assets__is_missing,0.0
roe__is_missing,0.0
roa__is_missing,0.0
log_assets__is_missing,0.0
