number,value,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.7211746250094587,10,0.2624074561769746,26,30,281,COMPLETE
1,0.6746517251849483,2,0.4832290311184182,26,35,204,COMPLETE
2,0.7216593839001146,10,0.2727299868828402,12,34,157,COMPLETE
3,0.7024547762317761,4,0.31649165607921675,20,22,214,COMPLETE
4,0.6938640680738807,3,0.38242799368681435,18,13,364,COMPLETE
5,0.6929026498117453,3,0.2185801650879991,26,22,425,COMPLETE
6,0.6902539525784056,3,0.5862528132298237,39,4,363,COMPLETE
7,0.7033460108821578,4,0.37606099749584054,29,5,433,COMPLETE
8,0.7113842087169687,6,0.3035119926400068,37,3,192,COMPLETE
9,0.7024006799099057,4,0.2739417822102108,24,22,382,COMPLETE
10,0.7217215019932439,10,0.4607466203112713,6,39,285,COMPLETE
11,0.7212321687126836,10,0.4953622178900083,6,40,285,COMPLETE
12,0.717156745602949,8,0.4696710372698376,6,32,161,COMPLETE
13,0.717593413291794,8,0.42081049603020754,13,40,266,COMPLETE
14,0.7172364101049667,8,0.5855006135473304,13,29,247,COMPLETE
15,0.7196015377898646,9,0.20131554535459636,11,34,488,COMPLETE
16,0.7107877028500699,6,0.5375920406844779,9,27,152,COMPLETE
17,0.7195127883673159,9,0.42549951611214104,16,37,311,COMPLETE
